,DATE,excess,term_spread,real_yield,inv_wealth,rolling_6m,momentum,index,intercept,term_spread_b1,real_yield_b2,inv_wealth_b3,momentum_b4,r_squared,expected_excess
148,2014-05-01,2.532380952380952,1.562857142857143,-0.5741428571428568,0.0887076510953835,0.0663959064327485,1,2014-05-01,0.4189673483059698,1.3537945771883795,-0.146986358544289,0.7148610434559721,-0.0549524546227513,0.9567213222530245,2.62760723048356
149,2014-06-01,2.5742857142857143,1.6390476190476189,-0.3799523809523812,0.0883437841568745,-0.0523200083542187,1,2014-06-01,0.41415271157221534,1.3533323094117615,-0.14687041852155697,0.762329970235418,-0.055518276105604815,0.9566981740953506,2.6999614145437065
150,2014-07-01,2.5181818181818185,1.6695454545454544,-0.2746545454545455,0.0907267514984781,-0.126210484544695,1,2014-07-01,0.4075261118169474,1.3526412152848433,-0.1467993273905478,0.829358633864564,-0.05628623200414122,0.9566460707927938,2.7250999896376875
151,2014-08-01,2.39,1.6014285714285712,-0.0836714285714288,0.088690945535052,-0.1867973532315637,-1,2014-08-01,0.39880609899526676,1.3515621755910128,-0.14671747651024603,0.9173109784634617,-0.05755478083570599,0.9564424351305505,2.714424402770195
152,2014-09-01,2.5228571428571427,1.7538095238095237,0.0897095238095238,0.0910797083816123,-0.2666241702741703,-1,2014-09-01,0.3829864445582906,1.3496224880926326,-0.14574258648975905,1.0770055577870479,-0.05483960385251982,0.9558982716369973,2.8898256756710303
153,2014-10-01,2.283181818181818,1.5259090909090909,-0.063590909090909,0.090112998949395,-0.2561432178932179,-1,2014-10-01,0.36863662496901456,1.3470759968527415,-0.14477179116934863,1.2277559402946838,-0.051895168138366685,0.955214276588151,2.5958902424194723
154,2014-11-01,2.283888888888889,1.6005555555555555,0.3890555555555555,0.0891596292724895,-0.2143837662337663,-1,2014-11-01,0.3559188213932859,1.345626778512392,-0.14387372419342603,1.351577388320526,-0.04940336684194892,0.9547016698292016,2.6236038714673864
155,2014-12-01,2.182272727272728,1.61,0.9869,0.0905811877020736,-0.0538506974506975,-1,2014-12-01,0.3398095928937712,1.3438645768025252,-0.143441979072717,1.5146036672703125,-0.046998280787640664,0.954096113999448,2.5460615522658743
156,2015-01-01,1.8635,1.3445,1.6044,0.0941346771082612,0.1739580327080326,-1,2015-01-01,0.32351086915414745,1.3422140056993728,-0.14367846046473373,1.6798847413102114,-0.04481580958962322,0.9533993686081701,2.10055109513929
157,2015-02-01,1.957368421052632,1.4526315789473685,1.5596315789473685,0.0903126465708878,0.4871337902837902,-1,2015-02-01,0.3157761818136778,1.3420731614441914,-0.14430367520214554,1.748142131911479,-0.04366915989959799,0.9531338913056667,2.2418019709964074
158,2015-03-01,2.02,1.4890909090909092,1.5410909090909093,0.0927203947616024,0.7610176248702564,-1,2015-03-01,0.30204532945477786,1.341388143079639,-0.14505929441407273,1.8823181522199168,-0.042311890744730914,0.9527249178728251,2.292785831861827
159,2015-04-01,1.9190909090909087,1.3345454545454545,1.4585454545454546,0.0927433144118196,1.002914522417154,-1,2015-04-01,0.2918829204629312,1.3407411017285515,-0.14569862180526966,1.9803479244444855,-0.04099772132206571,0.9523421492163707,2.0933165524530364
160,2015-05-01,2.1845000000000003,1.5185,1.5035,0.0926023699284531,1.256603916356548,-1,2015-05-01,0.28566928000942177,1.3406122647950025,-0.14607162235097737,2.0363056991379263,-0.04015879557802247,0.9522037830421699,2.330495849112949
161,2015-06-01,2.359545454545455,1.6636363636363636,1.5040363636363636,0.0951308749555206,1.4423446570972889,-1,2015-06-01,0.2803472985814546,1.3402202666599468,-0.1463835535730784,2.088335146359712,-0.03946608589372801,0.9520916294122107,2.5279515174344374
162,2015-07-01,2.294545454545455,1.602272727272727,1.406572727272727,0.0939602418931291,1.5285340510366827,1,2015-07-01,0.27603426145774673,1.3395836601747702,-0.14668933864270553,2.132261684222311,-0.03865280436497033,0.951947799538787,2.3777784222034635
163,2015-08-01,2.1333333333333333,1.4714285714285713,1.3001285714285713,0.100209608839536,1.4955628389154705,1,2015-08-01,0.27297628373320953,1.3393807290196946,-0.1471078625320018,2.1624318964718494,-0.03941046742885633,0.9519133711902769,2.229806208332699
164,2015-09-01,2.1733333333333333,1.47,1.4812,0.1026382659933155,1.4523123376623377,-1,2015-09-01,0.2721067398108644,1.3393741846514833,-0.14751658272130086,2.166959758818648,-0.04024098544082436,0.9518660363628744,2.2851392064850176
165,2015-10-01,2.0585714285714283,1.3657142857142857,1.2581142857142855,0.0952962875179027,1.4423305194805194,1,2015-10-01,0.27288827494081647,1.3393247123023193,-0.14766117783738333,2.1539910903566097,-0.03967880231931672,0.9518003356752126,2.0818370823979677
166,2015-11-01,2.1942105263157896,1.5510526315789472,1.2347526315789472,0.0957233796796787,1.4089253246753246,1,2015-11-01,0.272217134258333,1.3393300419184873,-0.14776449832039834,2.1597163135649327,-0.039878615632775435,0.9518034050746479,2.333992646224686
167,2015-12-01,2.0727272727272728,1.4686363636363635,1.0599363636363637,0.0976882326553489,1.3641340966051494,1,2015-12-01,0.26847481471363294,1.339093483810532,-0.14833953302430775,2.1947745087140724,-0.04103776115512007,0.9517008808495202,2.2512516158071505
168,2016-01-01,1.8610526315789475,1.258421052631579,0.280921052631579,0.102618435544657,1.2901174299384823,1,2016-01-01,0.2654588820223206,1.3389864152831445,-0.14894709133413847,2.218577503348762,-0.04244177387337941,0.9515379334010773,2.093850381173164
169,2016-02-01,1.5285000000000002,0.912,0.3746999999999999,0.1027394538706295,1.102508817498291,1,2016-02-01,0.2675918084070156,1.339420964686559,-0.149095649690817,2.177267218122999,-0.04395676783776449,0.9512831627773898,1.6130120653446254
170,2016-03-01,1.6381818181818182,1.085909090909091,0.484309090909091,0.0967413501210436,0.948270722260196,1,2016-03-01,0.2684077028681919,1.3398955466734614,-0.14919580919464343,2.1578562641411416,-0.04452354746707497,0.9513644282197389,1.8153859520440963
171,2016-04-01,1.6185714285714283,1.028095238095238,0.0854952380952378,0.0968328187470764,0.782122237411711,1,2016-04-01,0.26547806355541403,1.3403924924531632,-0.1495165384318063,2.171622999187968,-0.04574409280738438,0.9512815244891122,1.795286533632682
172,2016-05-01,1.5847619047619046,1.0304761904761903,0.2219761904761903,0.0958341624497356,0.5866857294752031,1,2016-05-01,0.2631158026540432,1.3409406119802734,-0.14960919752021723,2.1779429423225345,-0.0468405773688089,0.9512044979899091,1.7735942567885328
173,2016-06-01,1.4254545454545458,0.8963636363636363,0.0870636363636363,0.0961722500718622,0.4178896559580769,1,2016-06-01,0.2596785020352629,1.3415025158942433,-0.14980348122342663,2.194906468953757,-0.04804175963642206,0.9511139338099226,1.6121574737380973
174,2016-07-01,1.2455,0.7714999999999999,0.2030999999999999,0.0935788006271424,0.2557442014126224,1,2016-07-01,0.25679720293442376,1.3423079164281657,-0.1499251421263441,2.202845118854008,-0.04918208906028774,0.9510832749046081,1.4188954792223183
175,2016-08-01,1.298695652173913,0.8330434782608696,0.0777434782608696,0.0943237316754923,0.2427740259740259,1,2016-08-01,0.25221572764677314,1.343215614519218,-0.15014847541443693,2.2280911333596007,-0.05027550107955513,0.9511548233013672,1.5193860396178882
176,2016-09-01,1.445714285714286,0.888095238095238,-0.3705047619047619,0.0949962822654233,0.1932812723508375,1,2016-09-01,0.24728712508344436,1.344217731465561,-0.15031767715441557,2.252727053768773,-0.051596963249510956,0.9511019880311632,1.6591776383626289
177,2016-10-01,1.5285,0.942,-0.4138999999999999,0.0971903864908061,0.050812296881862,1,2016-10-01,0.24373185238077386,1.3450041756129147,-0.15014969913846732,2.2651753206596896,-0.05270617014124308,0.9510030798340429,1.740319841024659
178,2016-11-01,1.8525000000000005,1.146,-0.0882999999999998,0.0945808381422916,-0.0324202428006775,1,2016-11-01,0.24221220275821567,1.3457234201842567,-0.14991506842316388,2.257793937018934,-0.05376364730035404,0.9508777281070473,1.95742913844662
179,2016-12-01,2.0809523809523807,1.4490476190476191,-0.091752380952381,0.0936011496631761,-0.0841329412133759,1,2016-12-01,0.2400639507858629,1.34583012109686,-0.14991450874794898,2.272297998128394,-0.05433544405665679,0.9508466305024059,2.362345157466262
180,2017-01-01,1.9465,1.4065,-0.5939000000000003,0.092760908956261,-0.1139356107660455,1,2017-01-01,0.233013229722922,1.3451684639913304,-0.1498663326373017,2.336935628187499,-0.05583506700669354,0.9504408322196758,2.3749394953162715
181,2017-02-01,1.9468421052631577,1.3815789473684212,-0.9088210526315788,0.0904907116835387,-0.2467689440993788,1,2017-02-01,0.2222782715417706,1.3441503039582832,-0.1491328166242601,2.4324159700968013,-0.05777342968477026,0.9495093345192067,2.377200699535466
182,2017-03-01,1.8330434782608696,1.2734782608695652,-0.4277217391304346,0.0914733497094926,-0.411196365914787,1,2017-03-01,0.20847047048009365,1.3429993931255333,-0.14804329649309467,2.559298103709945,-0.05950873735938047,0.9485717414253334,2.156671171321229
183,2017-04-01,1.5636842105263158,1.0242105263157897,-0.3519894736842104,0.0915843147029465,-0.4207325287857324,-1,2017-04-01,0.19865155488627714,1.3426762919722286,-0.14774221590314363,2.6445334468947506,-0.06104003299495257,0.9480625649915289,1.9290762678134021
184,2017-05-01,1.5972727272727274,0.946818181818182,-0.0194818181818181,0.0914826199518798,-0.4104141077331008,-1,2017-05-01,0.18901992088539368,1.3430942788635856,-0.14643447925120828,2.7094234856541197,-0.05833563354049986,0.9474772851357168,1.7697396064770305
185,2017-06-01,1.3650000000000002,0.7940909090909092,0.1334909090909091,0.0919399176127573,-0.3989444107634039,-1,2017-06-01,0.18414193197275952,1.3434669347849546,-0.14602233091268346,2.742238101687022,-0.05717028202670491,0.9474111828892235,1.540775585018987
186,2017-07-01,1.3685,0.8019999999999998,0.1468999999999998,0.0911752794929811,-0.3614038624228555,-1,2017-07-01,0.17947122141863023,1.344154624648691,-0.14570902502800484,2.769172147791879,-0.05604756570208363,0.9474235436916713,1.5446061848514532
187,2017-08-01,1.2460869565217392,0.7665217391304346,-0.1515782608695652,0.0920129369668691,-0.2379371957561888,-1,2017-08-01,0.17429199362744444,1.3447983066744031,-0.14541611450647857,2.8020977602333135,-0.05494645054538996,0.9474319288048318,1.5399267473112161
188,2017-09-01,1.2254999999999998,0.7675000000000001,-0.3831,0.0912434035923221,-0.1117300637958532,1,2017-09-01,0.16739634684549345,1.3459386246741998,-0.14464452002860206,2.8372950263138637,-0.05300723546310453,0.9472145193224262,1.4616947766392387
189,2017-10-01,1.383809523809524,0.910952380952381,-0.0398476190476189,0.0903365451192363,-0.1042931072741141,-1,2017-10-01,0.1604358767996808,1.3469462702159487,-0.14456202022691642,2.8818061438140186,-0.05418876417946643,0.9471596528383383,1.7077214158935987
190,2017-11-01,1.2866666666666668,0.8199999999999998,-0.1225,0.0890820585897596,-0.0522694648346822,1,2017-11-01,0.15039513439682797,1.347629388136153,-0.14384466491068348,2.9540483996491744,-0.052127861852307826,0.9467857411425211,1.4840970548822576
191,2017-12-01,1.2239999999999998,0.8619999999999999,0.0520999999999998,0.0893932872587904,-0.0694391618043792,-1,2017-12-01,0.14256700635593889,1.348318552823584,-0.14396585547637358,3.014840983572348,-0.053187698772680266,0.9467841046008002,1.6200112226762866
192,2018-01-01,1.3104761904761906,0.971904761904762,0.2306047619047619,0.0861745699081519,-0.0830043133195307,-1,2018-01-01,0.12882830361778566,1.3493035391524772,-0.14325949708471136,3.1172773808203615,-0.05076883396377738,0.9462230468175403,1.7265853878995931
193,2018-02-01,1.501578947368421,1.029473684210526,0.3359736842105261,0.0907001725483047,-0.069053519668737,-1,2018-02-01,0.10855285987406343,1.3496805689439864,-0.14282886943264006,3.29497116230206,-0.048394843084116804,0.9455437377719557,1.7972760422638816
194,2018-03-01,1.2361904761904765,0.9295238095238096,0.2985238095238096,0.093885371444686,0.0122051378446114,-1,2018-03-01,0.09949614845465732,1.3500149001327213,-0.14251556148943184,3.3659570774811924,-0.04672890826538221,0.9452142096621714,1.6745658917592534
195,2018-04-01,1.2404761904761905,0.9419047619047618,0.2309047619047617,0.0942677293048669,0.1258091060985797,-1,2018-04-01,0.09214376086404262,1.3511824351121708,-0.14193501720773172,3.400072213264358,-0.044239706529451014,0.9444753188779959,1.696812252890424
196,2018-05-01,1.3081818181818186,0.9568181818181818,0.034918181818182,0.0930464600752609,0.1709345029239765,1,2018-05-01,0.0854812159652931,1.3523296993732083,-0.1412221722863765,3.4261685466750427,-0.04162867945162085,0.9436584882415298,1.6516478140873336
197,2018-06-01,1.1404761904761906,0.8757142857142859,-0.031885714285714,0.0933382538846447,0.1971708665603402,1,2018-06-01,0.07718797385130295,1.3532858190970234,-0.1414735863551266,3.4814612272944405,-0.04349471231464273,0.9432573731718074,1.5482494842507326
198,2018-07-01,1.0285714285714287,0.8176190476190475,-0.0764809523809524,0.0910836685739394,0.1831732475127212,1,2018-07-01,0.06823938180919412,1.354750314584074,-0.14169804576883785,3.533520349791411,-0.04565411601166133,0.9427038608669833,1.4629381256999605
199,2018-08-01,0.983913043478261,0.7378260869565221,0.1249260869565218,0.0895673385395932,0.1319922951317688,1,2018-08-01,0.055094399944989506,1.3563719258504903,-0.1419634352190267,3.625468387342832,-0.047935522187396176,0.94210912774372,1.3149140862264521
