DATE,excess,term_spread,real_yield,inv_wealth,rolling_6m,momentum
2007-08-01,0.5673913043478258,0.2321739130434776,2.534673913043478,0.0944733043516873,2.138498974709501,-1
2007-09-01,0.8199999999999998,0.3089473684210522,1.3651473684210522,0.092087725209024,2.1792402409185017,1
2007-10-01,0.8049999999999993,0.2981818181818183,0.5874818181818182,0.0916684355147337,2.126313287170495,1
2007-11-01,0.5145,0.3970000000000002,-0.7063000000000001,0.0963026558560818,1.8908213679785764,1
2007-12-01,1.3095000000000003,0.4874999999999998,-0.6212999999999997,0.0974267527551075,1.4468759134331215,1
2008-01-01,1.0623809523809524,0.2304761904761907,-1.314223809523809,0.1033965298053234,0.9544275007347092,1
2008-02-01,1.5045000000000002,0.6589999999999998,-1.364,0.1064081387161462,0.3075798816870899,1
2008-03-01,2.1745,1.2235000000000005,-1.4913999999999996,0.1063414838055999,-0.3421991038201564,1
2008-04-01,2.630454545454545,1.5513636363636365,-1.0624363636363636,0.1013633116695848,-0.8182903318903317,1
2008-05-01,2.147619047619048,1.4233333333333331,-0.9350666666666668,0.1002634915921283,-1.0932766955266953,-1
2008-06-01,2.4090476190476187,1.625238095238095,-1.450761904761905,0.1087236640318884,-1.131404473304473,1
2008-07-01,2.43,1.6731818181818183,-2.1943181818181814,0.1088256564583537,-1.269648124098124,1
2008-08-01,2.2357142857142853,1.4219047619047622,-2.1660952380952376,0.1067634987991467,-1.4163305194805194,1
2008-09-01,2.827619047619048,1.7542857142857144,-2.0690142857142853,0.1156821860948228,-1.550013059163059,1
2008-10-01,3.5504545454545453,2.056363636363636,-1.004736363636364,0.1353516031908076,-1.6462821067821067,-1
2008-11-01,3.436111111111112,2.1016666666666666,1.1917666666666664,0.1416719632217313,-1.63666544011544,-1
2008-12-01,2.387272727272727,1.491818181818182,1.544018181818182,0.1365152184233559,-1.2821932178932176,-1
2009-01-01,2.4695,1.4665,1.7101,0.144373799196838,-0.7830632034632034,-1
2009-02-01,2.6526315789473687,1.5715789473684212,1.8630789473684213,0.155984691216836,-0.1323268398268397,-1
2009-03-01,2.7231818181818186,1.6059090909090912,2.2624090909090917,0.1393400082740376,0.5392021910837701,-1
2009-04-01,2.8323809523809524,1.6980952380952383,2.434395238095238,0.1246385706270449,1.261106087187666,-1
2009-05-01,3.1575,1.954,3.1498,0.1165204538066776,1.834294687476267,-1
2009-06-01,3.6268181818181815,2.525909090909091,3.935109090909091,0.1148478763530786,2.1606335763651554,-1
